     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       200,        27,         0,   0.168,pymatching_owd_d5_r2,91b6adc029e938d94cf1a423502539b6eb635f719c72924c31701bbb009e3f5b,"{""d"":5,""decodings"":2,""p"":0.007182936262981712}",
       200,        34,         0,   0.169,pymatching_owd_d5_r2,91b6adc029e938d94cf1a423502539b6eb635f719c72924c31701bbb009e3f5b,"{""d"":5,""decodings"":2,""p"":0.007182936262981712}",
       100,         7,         0,    1.19,pymatching_owd_d9_r2,a9d0fd45dce912d750ee5df50df46234c3a48cda0a6e2f4d28a89a1149bf56df,"{""d"":9,""decodings"":2,""p"":0.0058043912212820915}",
       100,        14,         0,   0.186,pymatching_owd_d5_r2,91b6adc029e938d94cf1a423502539b6eb635f719c72924c31701bbb009e3f5b,"{""d"":5,""decodings"":2,""p"":0.007182936262981712}",
      7200,       165,         0,    3.24,pymatching_owd_d9_r2,d96eb64e1ca9b4bc49ec62752e37f0b44dd29d552eebec02323b2307731b12fb,"{""d"":9,""decodings"":2,""p"":0.0046904157598234315}",
       600,        68,         0,   0.232,pymatching_owd_d5_r2,91b6adc029e938d94cf1a423502539b6eb635f719c72924c31701bbb009e3f5b,"{""d"":5,""decodings"":2,""p"":0.007182936262981712}",
       100,         8,         0,   0.499,pymatching_owd_d7_r2,fd7c36769ed7931456025c3e1d26c40a73063ab20033ec6598fdbb510cf34da6,"{""d"":7,""decodings"":2,""p"":0.007182936262981712}",
      1000,       120,         0,   0.238,pymatching_owd_d5_r2,91b6adc029e938d94cf1a423502539b6eb635f719c72924c31701bbb009e3f5b,"{""d"":5,""decodings"":2,""p"":0.007182936262981712}",
       187,        18,         0,   0.190,pymatching_owd_d5_r2,91b6adc029e938d94cf1a423502539b6eb635f719c72924c31701bbb009e3f5b,"{""d"":5,""decodings"":2,""p"":0.007182936262981712}",
      1552,       189,         0,   0.293,pymatching_owd_d5_r2,91b6adc029e938d94cf1a423502539b6eb635f719c72924c31701bbb009e3f5b,"{""d"":5,""decodings"":2,""p"":0.007182936262981712}",
        78,        11,         0,   0.157,pymatching_owd_d5_r2,91b6adc029e938d94cf1a423502539b6eb635f719c72924c31701bbb009e3f5b,"{""d"":5,""decodings"":2,""p"":0.007182936262981712}",
        44,         9,         0,   0.154,pymatching_owd_d5_r2,91b6adc029e938d94cf1a423502539b6eb635f719c72924c31701bbb009e3f5b,"{""d"":5,""decodings"":2,""p"":0.007182936262981712}",
       200,        18,         0,   0.536,pymatching_owd_d7_r2,fd7c36769ed7931456025c3e1d26c40a73063ab20033ec6598fdbb510cf34da6,"{""d"":7,""decodings"":2,""p"":0.007182936262981712}",
       200,        29,         0,   0.490,pymatching_owd_d7_r2,fd7c36769ed7931456025c3e1d26c40a73063ab20033ec6598fdbb510cf34da6,"{""d"":7,""decodings"":2,""p"":0.007182936262981712}",
       100,        17,         0,   0.527,pymatching_owd_d7_r2,fd7c36769ed7931456025c3e1d26c40a73063ab20033ec6598fdbb510cf34da6,"{""d"":7,""decodings"":2,""p"":0.007182936262981712}",
       200,        10,         0,    1.16,pymatching_owd_d9_r2,a9d0fd45dce912d750ee5df50df46234c3a48cda0a6e2f4d28a89a1149bf56df,"{""d"":9,""decodings"":2,""p"":0.0058043912212820915}",
       100,         4,         0,    1.12,pymatching_owd_d9_r2,a9d0fd45dce912d750ee5df50df46234c3a48cda0a6e2f4d28a89a1149bf56df,"{""d"":9,""decodings"":2,""p"":0.0058043912212820915}",
       200,        10,         0,    1.16,pymatching_owd_d9_r2,a9d0fd45dce912d750ee5df50df46234c3a48cda0a6e2f4d28a89a1149bf56df,"{""d"":9,""decodings"":2,""p"":0.0058043912212820915}",
       600,        83,         0,   0.584,pymatching_owd_d7_r2,fd7c36769ed7931456025c3e1d26c40a73063ab20033ec6598fdbb510cf34da6,"{""d"":7,""decodings"":2,""p"":0.007182936262981712}",
      1000,       156,         0,   0.686,pymatching_owd_d7_r2,fd7c36769ed7931456025c3e1d26c40a73063ab20033ec6598fdbb510cf34da6,"{""d"":7,""decodings"":2,""p"":0.007182936262981712}",
      1200,       152,         0,   0.697,pymatching_owd_d7_r2,fd7c36769ed7931456025c3e1d26c40a73063ab20033ec6598fdbb510cf34da6,"{""d"":7,""decodings"":2,""p"":0.007182936262981712}",
       148,        17,         0,   0.519,pymatching_owd_d7_r2,fd7c36769ed7931456025c3e1d26c40a73063ab20033ec6598fdbb510cf34da6,"{""d"":7,""decodings"":2,""p"":0.007182936262981712}",
       138,        19,         0,   0.530,pymatching_owd_d7_r2,fd7c36769ed7931456025c3e1d26c40a73063ab20033ec6598fdbb510cf34da6,"{""d"":7,""decodings"":2,""p"":0.007182936262981712}",
       600,        40,         0,    1.37,pymatching_owd_d9_r2,a9d0fd45dce912d750ee5df50df46234c3a48cda0a6e2f4d28a89a1149bf56df,"{""d"":9,""decodings"":2,""p"":0.0058043912212820915}",
       400,        21,         0,    1.27,pymatching_owd_d9_r2,a9d0fd45dce912d750ee5df50df46234c3a48cda0a6e2f4d28a89a1149bf56df,"{""d"":9,""decodings"":2,""p"":0.0058043912212820915}",
       800,        48,         0,    1.41,pymatching_owd_d9_r2,a9d0fd45dce912d750ee5df50df46234c3a48cda0a6e2f4d28a89a1149bf56df,"{""d"":9,""decodings"":2,""p"":0.0058043912212820915}",
       100,        11,         0,   0.034,pymatching_owd_d3_r2,ca250331750c8a4dfa97eb03361b657e0d0ab40d662852bb597e9110e0757907,"{""d"":3,""decodings"":2,""p"":0.008888886257163988}",
       200,        27,         0,   0.039,pymatching_owd_d3_r2,ca250331750c8a4dfa97eb03361b657e0d0ab40d662852bb597e9110e0757907,"{""d"":3,""decodings"":2,""p"":0.008888886257163988}",
       600,        87,         0,   0.058,pymatching_owd_d3_r2,ca250331750c8a4dfa97eb03361b657e0d0ab40d662852bb597e9110e0757907,"{""d"":3,""decodings"":2,""p"":0.008888886257163988}",
        25,         2,         0,   0.512,pymatching_owd_d7_r2,fd7c36769ed7931456025c3e1d26c40a73063ab20033ec6598fdbb510cf34da6,"{""d"":7,""decodings"":2,""p"":0.007182936262981712}",
      1200,        81,         0,    1.57,pymatching_owd_d9_r2,a9d0fd45dce912d750ee5df50df46234c3a48cda0a6e2f4d28a89a1149bf56df,"{""d"":9,""decodings"":2,""p"":0.0058043912212820915}",
       896,       125,         0,   0.072,pymatching_owd_d3_r2,ca250331750c8a4dfa97eb03361b657e0d0ab40d662852bb597e9110e0757907,"{""d"":3,""decodings"":2,""p"":0.008888886257163988}",
         5,         0,         0,   0.029,pymatching_owd_d3_r2,ca250331750c8a4dfa97eb03361b657e0d0ab40d662852bb597e9110e0757907,"{""d"":3,""decodings"":2,""p"":0.008888886257163988}",
      1800,       267,         0,   0.119,pymatching_owd_d3_r2,ca250331750c8a4dfa97eb03361b657e0d0ab40d662852bb597e9110e0757907,"{""d"":3,""decodings"":2,""p"":0.008888886257163988}",
        10,         2,         0,   0.027,pymatching_owd_d3_r2,ca250331750c8a4dfa97eb03361b657e0d0ab40d662852bb597e9110e0757907,"{""d"":3,""decodings"":2,""p"":0.008888886257163988}",
       100,        21,         0,   0.163,pymatching_owd_d5_r2,4683105c6045eaa2b8fa8e9a7e2c9dc46cfdc581cef16b252bdff500907582b4,"{""d"":5,""decodings"":2,""p"":0.008888886257163988}",
       200,        36,         0,   0.169,pymatching_owd_d5_r2,4683105c6045eaa2b8fa8e9a7e2c9dc46cfdc581cef16b252bdff500907582b4,"{""d"":5,""decodings"":2,""p"":0.008888886257163988}",
       600,       122,         0,   0.216,pymatching_owd_d5_r2,4683105c6045eaa2b8fa8e9a7e2c9dc46cfdc581cef16b252bdff500907582b4,"{""d"":5,""decodings"":2,""p"":0.008888886257163988}",
       100,        28,         0,   0.526,pymatching_owd_d7_r2,ab7b04c85bb304a4753dc7b5ec324e98549e26d980bd99dd270b40a41dc0a071,"{""d"":7,""decodings"":2,""p"":0.008888886257163988}",
       100,        20,         0,    1.20,pymatching_owd_d9_r2,d0c0db33521f7c91d85a1773712a827ae04e8d43cca102f37491af8f6f492ee8,"{""d"":9,""decodings"":2,""p"":0.007182936262981712}",
      1617,       308,         0,   0.367,pymatching_owd_d5_r2,4683105c6045eaa2b8fa8e9a7e2c9dc46cfdc581cef16b252bdff500907582b4,"{""d"":5,""decodings"":2,""p"":0.008888886257163988}",
       200,        45,         0,   0.516,pymatching_owd_d7_r2,ab7b04c85bb304a4753dc7b5ec324e98549e26d980bd99dd270b40a41dc0a071,"{""d"":7,""decodings"":2,""p"":0.008888886257163988}",
       100,        24,         0,    1.17,pymatching_owd_d9_r2,4e75b066824c6084b1cb948a393d28df028d43e96232c64d75984985cf5e1d4f,"{""d"":9,""decodings"":2,""p"":0.008888886257163988}",
        78,        18,         0,   0.159,pymatching_owd_d5_r2,4683105c6045eaa2b8fa8e9a7e2c9dc46cfdc581cef16b252bdff500907582b4,"{""d"":5,""decodings"":2,""p"":0.008888886257163988}",
      2400,       161,         0,    1.94,pymatching_owd_d9_r2,a9d0fd45dce912d750ee5df50df46234c3a48cda0a6e2f4d28a89a1149bf56df,"{""d"":9,""decodings"":2,""p"":0.0058043912212820915}",
      2659,       161,         0,    2.08,pymatching_owd_d9_r2,a9d0fd45dce912d750ee5df50df46234c3a48cda0a6e2f4d28a89a1149bf56df,"{""d"":9,""decodings"":2,""p"":0.0058043912212820915}",
       200,        29,         0,    1.18,pymatching_owd_d9_r2,d0c0db33521f7c91d85a1773712a827ae04e8d43cca102f37491af8f6f492ee8,"{""d"":9,""decodings"":2,""p"":0.007182936262981712}",
       200,        30,         0,    1.18,pymatching_owd_d9_r2,d0c0db33521f7c91d85a1773712a827ae04e8d43cca102f37491af8f6f492ee8,"{""d"":9,""decodings"":2,""p"":0.007182936262981712}",
