     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       101,        26,         0,    7.77,pymatching_owd_d13_r3,f4718acfd561892417d4f5e8f3dee09d34a60ecec787bf33922fbb848de7d744,"{""d"":13,""decodings"":3,""p"":0.0077459666924148355}",
        46,        10,         0,    7.49,pymatching_owd_d13_r3,f4718acfd561892417d4f5e8f3dee09d34a60ecec787bf33922fbb848de7d744,"{""d"":13,""decodings"":3,""p"":0.0077459666924148355}",
      1000,       282,         0,    11.1,pymatching_owd_d13_r3,f4718acfd561892417d4f5e8f3dee09d34a60ecec787bf33922fbb848de7d744,"{""d"":13,""decodings"":3,""p"":0.0077459666924148355}",
        87,        12,         0,    18.2,pymatching_owd_d17_r3,6536f7439c50185f6315f7eec373197d9f3762f96df3a608dc4a617c0de26693,"{""d"":17,""decodings"":3,""p"":0.006817316198804999}",
       202,        26,         0,    19.3,pymatching_owd_d17_r3,6536f7439c50185f6315f7eec373197d9f3762f96df3a608dc4a617c0de26693,"{""d"":17,""decodings"":3,""p"":0.006817316198804999}",
       158,        47,         0,    7.78,pymatching_owd_d13_r3,f4718acfd561892417d4f5e8f3dee09d34a60ecec787bf33922fbb848de7d744,"{""d"":13,""decodings"":3,""p"":0.0077459666924148355}",
        16,         5,         0,    7.39,pymatching_owd_d13_r3,f4718acfd561892417d4f5e8f3dee09d34a60ecec787bf33922fbb848de7d744,"{""d"":13,""decodings"":3,""p"":0.0077459666924148355}",
        19,         3,         0,    7.24,pymatching_owd_d13_r3,f4718acfd561892417d4f5e8f3dee09d34a60ecec787bf33922fbb848de7d744,"{""d"":13,""decodings"":3,""p"":0.0077459666924148355}",
      1370,       448,         0,    3.95,pymatching_owd_d9_r3,bb3c5a4b7ebc219eb5c6facb7ea5a5a9a01966f7cebc745856e9228359b051aa,"{""d"":9,""decodings"":3,""p"":0.008801117367933936}",
       200,        64,         0,    8.37,pymatching_owd_d13_r3,15911063aec7193cf43109c19322c60aa679aa99eab8c754afbdeacc822dcd33,"{""d"":13,""decodings"":3,""p"":0.008801117367933936}",
         2,         0,         0,    17.4,pymatching_owd_d17_r3,6536f7439c50185f6315f7eec373197d9f3762f96df3a608dc4a617c0de26693,"{""d"":17,""decodings"":3,""p"":0.006817316198804999}",
        20,         3,         0,    17.4,pymatching_owd_d17_r3,6536f7439c50185f6315f7eec373197d9f3762f96df3a608dc4a617c0de26693,"{""d"":17,""decodings"":3,""p"":0.006817316198804999}",
       200,        67,         0,    19.1,pymatching_owd_d17_r3,5e61680f3b5b5a2340ca44184eaefcde401808afa0c1fb0feeb419cc679e3841,"{""d"":17,""decodings"":3,""p"":0.0077459666924148355}",
       100,        22,         0,    18.7,pymatching_owd_d17_r3,5e61680f3b5b5a2340ca44184eaefcde401808afa0c1fb0feeb419cc679e3841,"{""d"":17,""decodings"":3,""p"":0.0077459666924148355}",
       200,        60,         0,    19.6,pymatching_owd_d17_r3,5e61680f3b5b5a2340ca44184eaefcde401808afa0c1fb0feeb419cc679e3841,"{""d"":17,""decodings"":3,""p"":0.0077459666924148355}",
       600,       234,         0,    10.2,pymatching_owd_d13_r3,15911063aec7193cf43109c19322c60aa679aa99eab8c754afbdeacc822dcd33,"{""d"":13,""decodings"":3,""p"":0.008801117367933936}",
       600,       231,         0,    10.2,pymatching_owd_d13_r3,15911063aec7193cf43109c19322c60aa679aa99eab8c754afbdeacc822dcd33,"{""d"":13,""decodings"":3,""p"":0.008801117367933936}",
         2,         0,         0,    18.4,pymatching_owd_d17_r3,6536f7439c50185f6315f7eec373197d9f3762f96df3a608dc4a617c0de26693,"{""d"":17,""decodings"":3,""p"":0.006817316198804999}",
       379,       154,         0,    9.94,pymatching_owd_d13_r3,15911063aec7193cf43109c19322c60aa679aa99eab8c754afbdeacc822dcd33,"{""d"":13,""decodings"":3,""p"":0.008801117367933936}",
       100,        40,         0,    2.46,pymatching_owd_d9_r3,a1af8ac9553d7d38b307f147dbef48b3af86b302272afe86e7ede9bc895d5e88,"{""d"":9,""decodings"":3,""p"":0.01}",
